Store Name,Date,Bill No.,Tab Type,Source,Customer Name,Customer Number,Super Category,Category,SAC/HSN No.,SKU Code / Item No,SKU / Item Name,Item Rate,Item Qty,Item Subtotal,Offer,Discount Amount,Complimentary Amount,Total Discount,Net Sale Value,Tax Amount,Gross Sale Value,Purchase Rate,Purchase Value,Net Margin%,Gross Margin%
ABNAH Cafe Hauz Khas,2026-01-01,BILL-OUT002-260101-0001,Delivery/Takeaway,Takeaway,,,Beverage,Espresso,996331,MENU0002,Espresso Shot - Doppio,185.0,1.0,185.0,Synthetic promotion,10.74,0,10.74,174.26,8.71,182.97,21.27,21.27,87.79,88.38
ABNAH Cafe Hauz Khas,2026-01-01,BILL-OUT002-260101-0002,Delivery/Takeaway,Takeaway,,,Beverage,Coffee Classics,996331,MENU0003,Americano - Regular,185.0,4.0,740.0,Synthetic promotion,20.93,0,20.93,719.07,35.95,755.02,23.21,92.84,87.09,87.7
ABNAH Cafe Hauz Khas,2026-01-01,BILL-OUT002-260101-0003,Dine In,Dine In,,,Beverage,Coffee Classics,996331,MENU0004,Americano - Medium,210.0,1.0,210.0,Synthetic promotion,6.66,0,6.66,203.34,10.17,213.51,26.05,26.05,87.19,87.8
ABNAH Cafe Hauz Khas,2026-01-01,BILL-OUT002-260101-0004,Delivery/Takeaway,Online,,,Beverage,Coffee Classics,996331,MENU0006,Latte - Regular,225.0,3.0,675.0,Synthetic promotion,30.06,0,30.06,644.94,32.25,677.19,36.17,108.51,83.18,83.98
ABNAH Cafe Hauz Khas,2026-01-01,BILL-OUT002-260101-0005,Dine In,Dine In,,,Beverage,Coffee Classics,996331,MENU0007,Latte - Medium,250.0,2.0,500.0,Synthetic promotion,16.13,0,16.13,483.87,24.19,508.06,40.96,81.92,83.07,83.88
ABNAH Cafe Hauz Khas,2026-01-01,BILL-OUT002-260101-0006,Delivery/Takeaway,Takeaway,,,Beverage,Coffee Classics,996331,MENU0008,Latte - Large,275.0,1.0,275.0,Synthetic promotion,14.63,0,14.63,260.37,13.02,273.39,45.76,45.76,82.43,83.26
ABNAH Cafe Hauz Khas,2026-01-01,BILL-OUT002-260101-0007,Dine In,Dine In,Guest 7236,9000007236,Beverage,Coffee Classics,996331,MENU0009,Cappuccino - Regular,225.0,3.0,675.0,Synthetic promotion,0.28,0,0.28,674.72,33.74,708.46,36.17,108.51,83.92,84.68
ABNAH Cafe Hauz Khas,2026-01-01,BILL-OUT002-260101-0008,Dine In,Dine In,Guest 4037,9000004037,Beverage,Coffee Classics,996331,MENU0010,Cappuccino - Medium,253.06,1.0,253.06,,0.0,0,0.0,253.06,12.65,265.71,40.96,40.96,83.81,84.58
ABNAH Cafe Hauz Khas,2026-01-01,BILL-OUT002-260101-0009,Dine In,Dine In,,,Beverage,Coffee Classics,996331,MENU0011,Cappuccino - Large,275.0,2.0,550.0,Synthetic promotion,18.72,0,18.72,531.28,26.56,557.84,45.76,91.52,82.77,83.59
ABNAH Cafe Hauz Khas,2026-01-01,BILL-OUT002-260101-0010,Delivery/Takeaway,Online,,,Beverage,Coffee Classics,996331,MENU0012,Flat White - Regular,235.0,2.0,470.0,Synthetic promotion,22.36,0,22.36,447.64,22.38,470.02,36.17,72.34,83.84,84.61
ABNAH Cafe Hauz Khas,2026-01-01,BILL-OUT002-260101-0011,Delivery/Takeaway,Online,,,Beverage,Coffee Classics,996331,MENU0014,Flat White - Large,289.9,3.0,869.7,,0.0,0,0.0,869.7,43.48,913.18,45.76,137.28,84.22,84.97
ABNAH Cafe Hauz Khas,2026-01-01,BILL-OUT002-260101-0012,Delivery/Takeaway,Online,Guest 0458,9000000458,Beverage,Coffee Classics,996331,MENU0016,Mocha - Medium,270.0,1.0,270.0,Synthetic promotion,1.88,0,1.88,268.12,13.41,281.53,48.42,48.42,81.94,82.8
ABNAH Cafe Hauz Khas,2026-01-01,BILL-OUT002-260101-0013,Dine In,Dine In,,,Beverage,Coffee Classics,996331,MENU0017,Mocha - Large,295.0,1.0,295.0,Synthetic promotion,2.89,0,2.89,292.11,14.61,306.72,54.21,54.21,81.44,82.33
ABNAH Cafe Hauz Khas,2026-01-01,BILL-OUT002-260101-0014,Dine In,Dine In,Guest 1571,9000001571,Beverage,Signature Coffee,996331,MENU0022,Orange Zest Mocha - Medium,300.0,1.0,300.0,Synthetic promotion,17.1,0,17.1,282.9,14.14,297.04,48.42,48.42,82.88,83.7
ABNAH Cafe Hauz Khas,2026-01-01,BILL-OUT002-260101-0015,Dine In,Dine In,,,Beverage,Signature Coffee,996331,MENU0027,French Vanilla Latte - Regular,265.4,2.0,530.8,,0.0,0,0.0,530.81,26.54,557.35,42.17,84.34,84.11,84.87
ABNAH Cafe Hauz Khas,2026-01-01,BILL-OUT002-260101-0016,Delivery/Takeaway,Takeaway,,,Beverage,Signature Coffee,996331,MENU0031,Vegan Iced Latte - Medium,310.0,2.0,620.0,Synthetic promotion,10.12,0,10.12,609.88,30.49,640.37,66.95,133.9,78.04,79.09
ABNAH Cafe Hauz Khas,2026-01-01,BILL-OUT002-260101-0017,Dine In,Dine In,,,Beverage,Signature Coffee,996331,MENU0032,Vegan Iced Latte - Large,335.0,1.0,335.0,Synthetic promotion,5.51,0,5.51,329.49,16.47,345.96,75.02,75.02,77.23,78.32
