Store Name,Date,Bill No.,Tab Type,Source,Customer Name,Customer Number,Super Category,Category,SAC/HSN No.,SKU Code / Item No,SKU / Item Name,Item Rate,Item Qty,Item Subtotal,Offer,Discount Amount,Complimentary Amount,Total Discount,Net Sale Value,Tax Amount,Gross Sale Value,Purchase Rate,Purchase Value,Net Margin%,Gross Margin%
ABNAH Cafe Connaught Place,2026-03-01,BILL-OUT001-260301-0001,Delivery/Takeaway,Corporate Order,,,Beverage,Coffee Classics,996331,MENU0003,Americano - Regular,185.0,1.0,185.0,Synthetic promotion,10.32,0,10.32,174.68,8.73,183.41,23.21,23.21,86.71,87.35
ABNAH Cafe Connaught Place,2026-03-01,BILL-OUT001-260301-0002,Dine In,Dine In,,,Beverage,Coffee Classics,996331,MENU0004,Americano - Medium,210.0,3.0,630.0,Synthetic promotion,0.3,0,0.3,629.7,31.48,661.18,26.05,78.15,87.59,88.18
ABNAH Cafe Connaught Place,2026-03-01,BILL-OUT001-260301-0003,Delivery/Takeaway,Corporate Order,Guest 1989,9000001989,Beverage,Coffee Classics,996331,MENU0006,Latte - Regular,225.0,1.0,225.0,Synthetic promotion,7.85,0,7.85,217.15,10.86,228.01,36.17,36.17,83.34,84.14
ABNAH Cafe Connaught Place,2026-03-01,BILL-OUT001-260301-0004,Delivery/Takeaway,Takeaway,,,Beverage,Coffee Classics,996331,MENU0007,Latte - Medium,250.0,1.0,250.0,Synthetic promotion,10.12,0,10.12,239.88,11.99,251.87,40.96,40.96,82.92,83.74
ABNAH Cafe Connaught Place,2026-03-01,BILL-OUT001-260301-0005,Delivery/Takeaway,Takeaway,,,Beverage,Coffee Classics,996331,MENU0008,Latte - Large,275.0,2.0,550.0,Synthetic promotion,1.06,0,1.06,548.94,27.45,576.39,45.76,91.52,83.33,84.12
ABNAH Cafe Connaught Place,2026-03-01,BILL-OUT001-260301-0006,Delivery/Takeaway,Corporate Order,,,Beverage,Coffee Classics,996331,MENU0009,Cappuccino - Regular,225.67,3.0,677.01,,0.0,0,0.0,677.01,33.85,710.86,36.17,108.51,83.97,84.74
ABNAH Cafe Connaught Place,2026-03-01,BILL-OUT001-260301-0007,Dine In,Dine In,Guest 3381,9000003381,Beverage,Coffee Classics,996331,MENU0011,Cappuccino - Large,277.06,1.0,277.06,,0.0,0,0.0,277.06,13.85,290.91,45.76,45.76,83.48,84.27
ABNAH Cafe Connaught Place,2026-03-01,BILL-OUT001-260301-0008,Delivery/Takeaway,Takeaway,,,Beverage,Coffee Classics,996331,MENU0013,Flat White - Medium,260.0,2.0,520.0,Synthetic promotion,2.42,0,2.42,517.58,25.88,543.46,40.96,81.92,84.17,84.93
ABNAH Cafe Connaught Place,2026-03-01,BILL-OUT001-260301-0009,Dine In,Dine In,,,Beverage,Coffee Classics,996331,MENU0014,Flat White - Large,286.42,1.0,286.42,,0.0,0,0.0,286.42,14.32,300.74,45.76,45.76,84.02,84.78
ABNAH Cafe Connaught Place,2026-03-01,BILL-OUT001-260301-0010,Delivery/Takeaway,Corporate Order,,,Beverage,Coffee Classics,996331,MENU0015,Mocha - Regular,245.0,1.0,245.0,Synthetic promotion,10.03,0,10.03,234.97,11.75,246.72,42.67,42.67,81.84,82.71
ABNAH Cafe Connaught Place,2026-03-01,BILL-OUT001-260301-0011,Delivery/Takeaway,Takeaway,,,Beverage,Coffee Classics,996331,MENU0016,Mocha - Medium,270.0,3.0,810.0,Synthetic promotion,28.73,0,28.73,781.27,39.06,820.33,48.42,145.26,81.41,82.29
ABNAH Cafe Connaught Place,2026-03-01,BILL-OUT001-260301-0012,Delivery/Takeaway,Corporate Order,,,Beverage,Coffee Classics,996331,MENU0017,Mocha - Large,295.0,1.0,295.0,Synthetic promotion,7.25,0,7.25,287.75,14.39,302.14,54.21,54.21,81.16,82.06
ABNAH Cafe Connaught Place,2026-03-01,BILL-OUT001-260301-0013,Delivery/Takeaway,Corporate Order,,,Beverage,Signature Coffee,996331,MENU0019,Sea Salt Mocha - Medium,306.79,1.0,306.79,,0.0,0,0.0,306.79,15.34,322.13,48.42,48.42,84.22,84.97
ABNAH Cafe Connaught Place,2026-03-01,BILL-OUT001-260301-0014,Dine In,Dine In,,,Beverage,Signature Coffee,996331,MENU0023,Orange Zest Mocha - Large,330.7,1.0,330.7,,0.0,0,0.0,330.7,16.54,347.24,54.21,54.21,83.61,84.39
ABNAH Cafe Connaught Place,2026-03-01,BILL-OUT001-260301-0015,Dine In,Dine In,Guest 3716,9000003716,Beverage,Signature Coffee,996331,MENU0024,Caramel Macchiato - Regular,265.0,1.0,265.0,Synthetic promotion,14.72,0,14.72,250.28,12.51,262.79,42.42,42.42,83.05,83.86
ABNAH Cafe Connaught Place,2026-03-01,BILL-OUT001-260301-0016,Delivery/Takeaway,Takeaway,,,Beverage,Signature Coffee,996331,MENU0025,Caramel Macchiato - Medium,295.0,2.0,590.0,Synthetic promotion,28.25,0,28.25,561.75,28.09,589.84,48.13,96.26,82.86,83.68
ABNAH Cafe Connaught Place,2026-03-01,BILL-OUT001-260301-0017,Delivery/Takeaway,Takeaway,,,Beverage,Signature Coffee,996331,MENU0028,French Vanilla Latte - Medium,300.33,1.0,300.33,,0.0,0,0.0,300.33,15.02,315.35,47.85,47.85,84.07,84.83
