Store Name,Date,Bill No.,Tab Type,Source,Customer Name,Customer Number,Super Category,Category,SAC/HSN No.,SKU Code / Item No,SKU / Item Name,Item Rate,Item Qty,Item Subtotal,Offer,Discount Amount,Complimentary Amount,Total Discount,Net Sale Value,Tax Amount,Gross Sale Value,Purchase Rate,Purchase Value,Net Margin%,Gross Margin%
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0001,Delivery/Takeaway,Mall Walk-in,,,Beverage,Espresso,996331,MENU0002,Espresso Shot - Doppio,185.0,1.0,185.0,Synthetic promotion,8.03,0,8.03,176.97,8.85,185.82,21.27,21.27,87.98,88.55
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0002,Delivery/Takeaway,Mall Walk-in,,,Beverage,Coffee Classics,996331,MENU0003,Americano - Regular,186.81,2.0,373.62,,0.0,0,0.0,373.62,18.68,392.3,23.21,46.42,87.58,88.17
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0003,Delivery/Takeaway,Online,,,Beverage,Coffee Classics,996331,MENU0004,Americano - Medium,210.0,5.0,1050.0,Synthetic promotion,60.91,0,60.91,989.09,49.45,1038.54,26.05,130.25,86.83,87.46
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0004,Delivery/Takeaway,Mall Walk-in,,,Beverage,Coffee Classics,996331,MENU0005,Americano - Large,236.74,4.0,946.96,Synthetic promotion,0.01,0,0.01,946.95,47.35,994.3,28.91,115.64,87.79,88.37
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0005,Delivery/Takeaway,Online,,,Beverage,Coffee Classics,996331,MENU0006,Latte - Regular,225.0,4.0,900.0,Synthetic promotion,7.72,0,7.72,892.28,44.61,936.89,36.17,144.68,83.79,84.56
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0006,Delivery/Takeaway,Mall Walk-in,,,Beverage,Coffee Classics,996331,MENU0008,Latte - Large,279.6,1.0,279.6,,0.0,0,0.0,279.6,13.98,293.58,45.76,45.76,83.63,84.41
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0007,Delivery/Takeaway,Mall Walk-in,Guest 6199,9000006199,Beverage,Coffee Classics,996331,MENU0009,Cappuccino - Regular,226.31,4.0,905.24,Synthetic promotion,0.01,0,0.01,905.23,45.26,950.49,36.17,144.68,84.02,84.78
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0008,Delivery/Takeaway,Mall Walk-in,,,Beverage,Coffee Classics,996331,MENU0011,Cappuccino - Large,275.0,3.0,825.0,Synthetic promotion,21.35,0,21.35,803.65,40.18,843.83,45.76,137.28,82.92,83.73
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0009,Dine In,Dine In,,,Beverage,Coffee Classics,996331,MENU0012,Flat White - Regular,235.0,2.0,470.0,Synthetic promotion,11.96,0,11.96,458.04,22.9,480.94,36.17,72.34,84.21,84.96
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0010,Delivery/Takeaway,Mall Walk-in,,,Beverage,Coffee Classics,996331,MENU0013,Flat White - Medium,260.0,5.0,1300.0,Synthetic promotion,30.65,0,30.65,1269.35,63.47,1332.82,40.96,204.8,83.87,84.63
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0011,Delivery/Takeaway,Online,,,Beverage,Coffee Classics,996331,MENU0015,Mocha - Regular,245.0,5.0,1225.0,Synthetic promotion,65.28,0,65.28,1159.72,57.99,1217.71,42.67,213.35,81.6,82.48
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0012,Dine In,Dine In,,,Beverage,Coffee Classics,996331,MENU0016,Mocha - Medium,270.0,1.0,270.0,Synthetic promotion,14.34,0,14.34,255.66,12.78,268.44,48.42,48.42,81.06,81.96
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0013,Delivery/Takeaway,Mall Walk-in,,,Beverage,Signature Coffee,996331,MENU0018,Sea Salt Mocha - Regular,275.0,1.0,275.0,Synthetic promotion,13.41,0,13.41,261.59,13.08,274.67,42.67,42.67,83.69,84.46
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0014,Dine In,Dine In,,,Beverage,Signature Coffee,996331,MENU0019,Sea Salt Mocha - Medium,305.0,2.0,610.0,Synthetic promotion,8.88,0,8.88,601.12,30.06,631.18,48.42,96.84,83.89,84.66
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0015,Delivery/Takeaway,Online,,,Beverage,Signature Coffee,996331,MENU0020,Sea Salt Mocha - Large,335.0,2.0,670.0,Synthetic promotion,30.43,0,30.43,639.57,31.98,671.55,54.21,108.42,83.05,83.86
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0016,Dine In,Dine In,,,Beverage,Signature Coffee,996331,MENU0021,Orange Zest Mocha - Regular,270.0,2.0,540.0,Synthetic promotion,16.64,0,16.64,523.36,26.17,549.53,42.67,85.34,83.69,84.47
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0017,Delivery/Takeaway,Online,,,Beverage,Signature Coffee,996331,MENU0022,Orange Zest Mocha - Medium,300.0,5.0,1500.0,Synthetic promotion,81.58,0,81.58,1418.42,70.92,1489.34,48.42,242.1,82.93,83.74
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0018,Delivery/Takeaway,Online,,,Beverage,Signature Coffee,996331,MENU0024,Caramel Macchiato - Regular,265.0,4.0,1060.0,Synthetic promotion,6.62,0,6.62,1053.38,52.67,1106.05,42.42,169.68,83.89,84.66
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0019,Delivery/Takeaway,Online,,,Beverage,Signature Coffee,996331,MENU0026,Caramel Macchiato - Large,325.0,1.0,325.0,Synthetic promotion,14.94,0,14.94,310.06,15.5,325.56,53.88,53.88,82.62,83.45
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0020,Delivery/Takeaway,Online,,,Beverage,Signature Coffee,996331,MENU0027,French Vanilla Latte - Regular,269.81,2.0,539.62,,0.0,0,0.0,539.63,26.98,566.61,42.17,84.34,84.37,85.11
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0021,Dine In,Dine In,,,Beverage,Signature Coffee,996331,MENU0028,French Vanilla Latte - Medium,295.0,2.0,590.0,Synthetic promotion,28.99,0,28.99,561.01,28.05,589.06,47.85,95.7,82.94,83.75
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0022,Delivery/Takeaway,Mall Walk-in,,,Beverage,Signature Coffee,996331,MENU0029,French Vanilla Latte - Large,325.0,2.0,650.0,Synthetic promotion,24.43,0,24.43,625.57,31.28,656.85,53.56,107.12,82.88,83.69
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0023,Delivery/Takeaway,Mall Walk-in,,,Beverage,Signature Coffee,996331,MENU0030,Vegan Iced Latte - Regular,285.0,3.0,855.0,Synthetic promotion,6.49,0,6.49,848.51,42.43,890.94,58.9,176.7,79.18,80.17
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0024,Delivery/Takeaway,Mall Walk-in,,,Beverage,Signature Coffee,996331,MENU0031,Vegan Iced Latte - Medium,310.0,6.0,1860.0,Synthetic promotion,17.8,0,17.8,1842.2,92.11,1934.31,66.95,401.7,78.19,79.23
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0025,Delivery/Takeaway,Mall Walk-in,,,Beverage,Signature Coffee,996331,MENU0032,Vegan Iced Latte - Large,335.0,1.0,335.0,Synthetic promotion,12.74,0,12.74,322.26,16.11,338.37,75.02,75.02,76.72,77.83
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0026,Dine In,Dine In,,,Beverage,Cold Brew,996331,MENU0033,Classic Cold Brew - Regular,228.91,1.0,228.91,,0.0,0,0.0,228.91,11.45,240.36,25.6,25.6,88.82,89.35
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0027,Delivery/Takeaway,Mall Walk-in,,,Beverage,Cold Brew,996331,MENU0034,Classic Cold Brew - Medium,253.11,1.0,253.11,,0.0,0,0.0,253.11,12.66,265.77,28.66,28.66,88.68,89.22
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0028,Dine In,Dine In,,,Beverage,Cold Brew,996331,MENU0036,Coffee Lemonade - Regular,235.0,2.0,470.0,Synthetic promotion,27.49,0,27.49,442.51,22.13,464.64,29.45,58.9,86.69,87.32
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0029,Dine In,Dine In,,,Beverage,Cold Brew,996331,MENU0037,Coffee Lemonade - Medium,260.0,3.0,780.0,Synthetic promotion,4.98,0,4.98,775.02,38.75,813.77,33.09,99.27,87.19,87.8
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0030,Delivery/Takeaway,Online,,,Beverage,Cold Brew,996331,MENU0040,Vietnamese Shakerato - Medium,280.0,1.0,280.0,Synthetic promotion,10.21,0,10.21,269.79,13.49,283.28,28.66,28.66,89.38,89.88
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0031,Delivery/Takeaway,Online,,,Beverage,Cold Coffee,996331,MENU0042,Classic Cold Coffee - Regular,255.0,1.0,255.0,Synthetic promotion,6.11,0,6.11,248.89,12.44,261.33,38.56,38.56,84.51,85.24
ABNAH Cafe Saket Premium,2026-03-01,BILL-OUT003-260301-0032,Delivery/Takeaway,Mall Walk-in,,,Beverage,Cold Coffee,996331,MENU0043,Classic Cold Coffee - Medium,290.54,2.0,581.08,Synthetic promotion,0.01,0,0.01,581.07,29.05,610.12,43.56,87.12,85.01,85.72
