State,Deployment,Order Id,billNumber,daySerial,Tab,tableNumber,Open Time,Close Time,Category Name,Item Name,Item Number,itemSection,Item Classification,Rate,Qty,Amount,Discount,discountType,discountRemarks,GST@5% Amount,GST@5%,GST@18% Amount,GST@18%,GST@3% Amount,GST@3%,netamt,customerName,customerMobile,Covers,Waiter Name,Source
Delhi,ABNAH Cafe Saket Premium,,BILL-OUT003-260101-0001,1,Delivery/Takeaway,,2026-01-01 13:42:00,2026-01-01 14:02:00,Coffee Classics,Americano - Medium,MENU0004,Beverage,Menu Item,210.0,2.0,420.0,10.25,Bill Discount,Synthetic promotion,409.75,20.49,0,0,0,0,430.24,,,,,
Delhi,ABNAH Cafe Saket Premium,,BILL-OUT003-260101-0002,2,Dine In,T10,2026-01-01 13:59:00,2026-01-01 14:41:00,Coffee Classics,Americano - Large,MENU0005,Beverage,Menu Item,235.0,1.0,235.0,4.19,Bill Discount,Synthetic promotion,230.81,11.54,0,0,0,0,242.35,,,,,
Delhi,ABNAH Cafe Saket Premium,,BILL-OUT003-260101-0003,3,Dine In,T11,2026-01-01 09:35:00,2026-01-01 09:52:00,Coffee Classics,Latte - Regular,MENU0006,Beverage,Menu Item,229.32,3.0,687.96,0.0,,,687.97,34.4,0,0,0,0,722.37,,,,,
Delhi,ABNAH Cafe Saket Premium,,BILL-OUT003-260101-0004,4,Delivery/Takeaway,,2026-01-01 08:11:00,2026-01-01 08:21:00,Coffee Classics,Latte - Medium,MENU0007,Beverage,Menu Item,250.0,2.0,500.0,8.25,Bill Discount,Synthetic promotion,491.75,24.59,0,0,0,0,516.34,,,,,
Delhi,ABNAH Cafe Saket Premium,,BILL-OUT003-260101-0005,5,Dine In,T02,2026-01-01 14:42:00,2026-01-01 15:00:00,Coffee Classics,Latte - Large,MENU0008,Beverage,Menu Item,275.0,2.0,550.0,29.89,Bill Discount,Synthetic promotion,520.11,26.01,0,0,0,0,546.12,,,,,
Delhi,ABNAH Cafe Saket Premium,,BILL-OUT003-260101-0006,6,Delivery/Takeaway,,2026-01-01 08:08:00,2026-01-01 08:32:00,Coffee Classics,Cappuccino - Regular,MENU0009,Beverage,Menu Item,225.0,1.0,225.0,11.74,Bill Discount,Synthetic promotion,213.26,10.66,0,0,0,0,223.92,,,,,
Delhi,ABNAH Cafe Saket Premium,,BILL-OUT003-260101-0007,7,Delivery/Takeaway,,2026-01-01 15:18:00,2026-01-01 15:47:00,Coffee Classics,Cappuccino - Large,MENU0011,Beverage,Menu Item,277.59,1.0,277.59,0.0,,,277.59,13.88,0,0,0,0,291.47,,,,,
Delhi,ABNAH Cafe Saket Premium,,BILL-OUT003-260101-0008,8,Delivery/Takeaway,,2026-01-01 13:23:00,2026-01-01 14:08:00,Coffee Classics,Mocha - Medium,MENU0016,Beverage,Menu Item,270.0,1.0,270.0,7.21,Bill Discount,Synthetic promotion,262.79,13.14,0,0,0,0,275.93,,,,,
Delhi,ABNAH Cafe Saket Premium,,BILL-OUT003-260101-0009,9,Dine In,T21,2026-01-01 15:09:00,2026-01-01 15:46:00,Coffee Classics,Mocha - Large,MENU0017,Beverage,Menu Item,295.0,1.0,295.0,5.4,Bill Discount,Synthetic promotion,289.6,14.48,0,0,0,0,304.08,,,,,
Delhi,ABNAH Cafe Saket Premium,,BILL-OUT003-260101-0010,10,Delivery/Takeaway,,2026-01-01 14:23:00,2026-01-01 15:08:00,Signature Coffee,Sea Salt Mocha - Large,MENU0020,Beverage,Menu Item,335.0,2.0,670.0,9.5,Bill Discount,Synthetic promotion,660.5,33.02,0,0,0,0,693.52,,,,,
Delhi,ABNAH Cafe Saket Premium,,BILL-OUT003-260101-0011,11,Dine In,T15,2026-01-01 11:36:00,2026-01-01 12:24:00,Signature Coffee,Orange Zest Mocha - Regular,MENU0021,Beverage,Menu Item,270.0,3.0,810.0,26.64,Bill Discount,Synthetic promotion,783.36,39.17,0,0,0,0,822.53,,,,,
Delhi,ABNAH Cafe Saket Premium,,BILL-OUT003-260101-0012,12,Delivery/Takeaway,,2026-01-01 14:43:00,2026-01-01 15:12:00,Signature Coffee,Orange Zest Mocha - Medium,MENU0022,Beverage,Menu Item,303.19,2.0,606.38,0.0,,,606.38,30.32,0,0,0,0,636.7,,,,,
Delhi,ABNAH Cafe Saket Premium,,BILL-OUT003-260101-0013,13,Delivery/Takeaway,,2026-01-01 12:19:00,2026-01-01 12:54:00,Signature Coffee,Orange Zest Mocha - Large,MENU0023,Beverage,Menu Item,330.0,1.0,330.0,8.8,Bill Discount,Synthetic promotion,321.2,16.06,0,0,0,0,337.26,,,,,
Delhi,ABNAH Cafe Saket Premium,,BILL-OUT003-260101-0014,14,Delivery/Takeaway,,2026-01-01 14:12:00,2026-01-01 14:31:00,Signature Coffee,Caramel Macchiato - Regular,MENU0024,Beverage,Menu Item,265.0,1.0,265.0,11.83,Bill Discount,Synthetic promotion,253.17,12.66,0,0,0,0,265.83,,,,,
Delhi,ABNAH Cafe Saket Premium,,BILL-OUT003-260101-0015,15,Delivery/Takeaway,,2026-01-01 17:47:00,2026-01-01 18:34:00,Signature Coffee,Caramel Macchiato - Medium,MENU0025,Beverage,Menu Item,299.94,1.0,299.94,0.0,,,299.94,15.0,0,0,0,0,314.94,,,,,
Delhi,ABNAH Cafe Saket Premium,,BILL-OUT003-260101-0016,16,Dine In,T07,2026-01-01 10:18:00,2026-01-01 10:57:00,Signature Coffee,Vegan Iced Latte - Regular,MENU0030,Beverage,Menu Item,285.0,2.0,570.0,5.38,Bill Discount,Synthetic promotion,564.62,28.23,0,0,0,0,592.85,,,,,
Delhi,ABNAH Cafe Saket Premium,,BILL-OUT003-260101-0017,17,Delivery/Takeaway,,2026-01-01 16:56:00,2026-01-01 17:31:00,Signature Coffee,Vegan Iced Latte - Medium,MENU0031,Beverage,Menu Item,310.0,3.0,930.0,18.85,Bill Discount,Synthetic promotion,911.15,45.56,0,0,0,0,956.71,,,,,
Delhi,ABNAH Cafe Saket Premium,,BILL-OUT003-260101-0018,18,Delivery/Takeaway,,2026-01-01 10:25:00,2026-01-01 10:43:00,Cold Brew,Classic Cold Brew - Regular,MENU0033,Beverage,Menu Item,225.0,2.0,450.0,10.88,Bill Discount,Synthetic promotion,439.12,21.96,0,0,0,0,461.08,,,,,
Delhi,ABNAH Cafe Saket Premium,,BILL-OUT003-260101-0019,19,Dine In,T19,2026-01-01 12:28:00,2026-01-01 13:10:00,Cold Brew,Classic Cold Brew - Medium,MENU0034,Beverage,Menu Item,250.17,2.0,500.34,0.0,,,500.34,25.02,0,0,0,0,525.36,,,,,
Delhi,ABNAH Cafe Saket Premium,,BILL-OUT003-260101-0020,20,Delivery/Takeaway,,2026-01-01 15:01:00,2026-01-01 15:20:00,Cold Brew,Coffee Lemonade - Large,MENU0038,Beverage,Menu Item,285.0,1.0,285.0,10.11,Bill Discount,Synthetic promotion,274.89,13.74,0,0,0,0,288.63,,,,,
Delhi,ABNAH Cafe Saket Premium,,BILL-OUT003-260101-0021,21,Delivery/Takeaway,,2026-01-01 15:55:00,2026-01-01 16:17:00,Cold Brew,Vietnamese Shakerato - Regular,MENU0039,Beverage,Menu Item,255.0,1.0,255.0,14.69,Bill Discount,Synthetic promotion,240.31,12.02,0,0,0,0,252.33,,,,,
Delhi,ABNAH Cafe Saket Premium,,BILL-OUT003-260101-0022,22,Delivery/Takeaway,,2026-01-01 17:45:00,2026-01-01 18:24:00,Cold Brew,Vietnamese Shakerato - Medium,MENU0040,Beverage,Menu Item,280.0,1.0,280.0,7.04,Bill Discount,Synthetic promotion,272.96,13.65,0,0,0,0,286.61,,,,,
