Store Name,Date,Bill No.,Tab Type,Source,Customer Name,Customer Number,Super Category,Category,SAC/HSN No.,SKU Code / Item No,SKU / Item Name,Item Rate,Item Qty,Item Subtotal,Offer,Discount Amount,Complimentary Amount,Total Discount,Net Sale Value,Tax Amount,Gross Sale Value,Purchase Rate,Purchase Value,Net Margin%,Gross Margin%
ABNAH Cafe Hauz Khas,2026-02-01,BILL-OUT002-260201-0001,Delivery/Takeaway,Online,,,Beverage,Coffee Classics,996331,MENU0003,Americano - Regular,185.0,4.0,740.0,Synthetic promotion,7.08,0,7.08,732.92,36.65,769.57,23.21,92.84,87.33,87.94
ABNAH Cafe Hauz Khas,2026-02-01,BILL-OUT002-260201-0002,Dine In,Dine In,,,Beverage,Coffee Classics,996331,MENU0004,Americano - Medium,210.0,1.0,210.0,Synthetic promotion,2.66,0,2.66,207.34,10.37,217.71,26.05,26.05,87.44,88.03
ABNAH Cafe Hauz Khas,2026-02-01,BILL-OUT002-260201-0003,Delivery/Takeaway,Takeaway,,,Beverage,Coffee Classics,996331,MENU0005,Americano - Large,235.0,3.0,705.0,Synthetic promotion,14.15,0,14.15,690.85,34.54,725.39,28.91,86.73,87.45,88.04
ABNAH Cafe Hauz Khas,2026-02-01,BILL-OUT002-260201-0004,Dine In,Dine In,Guest 8843,9000008843,Beverage,Coffee Classics,996331,MENU0006,Latte - Regular,228.34,3.0,685.02,,0.0,0,0.0,685.02,34.25,719.27,36.17,108.51,84.16,84.91
ABNAH Cafe Hauz Khas,2026-02-01,BILL-OUT002-260201-0005,Delivery/Takeaway,Online,,,Beverage,Coffee Classics,996331,MENU0007,Latte - Medium,250.0,2.0,500.0,Synthetic promotion,23.53,0,23.53,476.47,23.82,500.29,40.96,81.92,82.81,83.63
ABNAH Cafe Hauz Khas,2026-02-01,BILL-OUT002-260201-0006,Delivery/Takeaway,Takeaway,,,Beverage,Coffee Classics,996331,MENU0008,Latte - Large,275.0,1.0,275.0,Synthetic promotion,3.78,0,3.78,271.22,13.56,284.78,45.76,45.76,83.13,83.93
ABNAH Cafe Hauz Khas,2026-02-01,BILL-OUT002-260201-0007,Delivery/Takeaway,Online,Guest 7953,9000007953,Beverage,Coffee Classics,996331,MENU0009,Cappuccino - Regular,225.0,1.0,225.0,Synthetic promotion,6.27,0,6.27,218.73,10.94,229.67,36.17,36.17,83.46,84.25
ABNAH Cafe Hauz Khas,2026-02-01,BILL-OUT002-260201-0008,Dine In,Dine In,,,Beverage,Coffee Classics,996331,MENU0010,Cappuccino - Medium,250.0,2.0,500.0,Synthetic promotion,18.21,0,18.21,481.79,24.09,505.88,40.96,81.92,83.0,83.81
ABNAH Cafe Hauz Khas,2026-02-01,BILL-OUT002-260201-0009,Dine In,Dine In,,,Beverage,Coffee Classics,996331,MENU0011,Cappuccino - Large,275.0,2.0,550.0,Synthetic promotion,16.26,0,16.26,533.74,26.69,560.43,45.76,91.52,82.85,83.67
ABNAH Cafe Hauz Khas,2026-02-01,BILL-OUT002-260201-0010,Delivery/Takeaway,Takeaway,,,Beverage,Coffee Classics,996331,MENU0012,Flat White - Regular,235.0,2.0,470.0,Synthetic promotion,21.81,0,21.81,448.19,22.41,470.6,36.17,72.34,83.86,84.63
